--- Vocabulary Part 6 ---

R:

racial (रेशियल): नस्लीय (nasliya) | नस्ली (nasli)
structural (स्ट्रक्चरल): संरचनात्मक (sanrachanaatmak) | तामीराती (taameeraati) / साख़ती (saakhti)
stumble (स्टंबल): ठोकर खाना (thokar khaana) | ठोकर खाना (thokar khaana)
stun (स्टन): अवाक करना (avaak karna) | हैरान कर देना (hairan kar dena)
stunning (स्टनिंग): आश्चर्यजनक (aashcharyajanak) | शानदार (shaandaar) / हैरानकुन (hairankun)
submission (सबमिशन): प्रस्तुतीकरण (prastuteekaran) | इताअत (ita'at) / पेश करना (pesh karna)
subscriber (सब्सक्राइबर): ग्राहक (graahak) | कारकुन (kaarkun) / चंदा देने वाला
subscription (सब्सक्रिप्शन): सदस्यता शुल्क (sadasyata shulk) | चंदा (chanda) / शुल्क (shulk)
subsequent (सब्सिक्वेंट): उत्तरवर्ती (uttaravartee) | बाद में आने वाला (baad mein aane wala)
subsequently (सब्सिक्वेंटली): बाद में (baad mein) | बाद अज़ाँ (baad azan) / बाद में (baad mein)
subsidy (सब्सिडी): आर्थिक सहायता (aarthik sahaayata) | इमदाद (imdaad) / रियायत (riayat)
substantial (सबस्टेंशियल): पर्याप्त (paryaapt) | वसी (wasee) / काफ़ी बड़ा (kaafi bada)
substantially (सबस्टेंशियलली): काफी हद तक (kaaphee had tak) | ख़ासा (khaasa) / बड़े पैमाने पर
substitute (सबस्टीट्यूट): विकल्प (vikalp) | बदल (badal) / क़ायम-मकाम (qayam-makaam)
substitution (सबस्टीट्यूशन): प्रतिस्थापन (pratisthaapan) | तबादला (tabaadla)
subtle (सटल): सूक्ष्म (sookshma) | बारीक (bareek) / मद्धम (maddham)
suburb (सबर्ब): उपनगर (upanagar) | मज़ाफ़ात (mazafaat) / उपनगर (suburb)
suburban (सबर्बन): उपनगरीय (upanagareeya) | मज़ाफ़ाती (mazafaati)
succession (सक्सेशन): उत्तराधिकार (uttaraadhikaar) | तवातुर (tawaatur) / जानशीनी (jaanasheeni)
successive (सक्सेसिव): क्रमिक (kramik) | लगातार (lagaataar) / एक के बाद एक
successor (सक्सेसर): उत्तराधिकारी (uttaraadhikaaree) | जानशीन (jaanasheen)
suck (सक): चूसना (choosana) | चूसना (choosana)
sue (स्यू): मुकदमा करना (mukadama karna) | अदालत में ले जाना (adalat mein le jaana)
suffering (सफरिंग): पीड़ा (peeda) | तकलीफ़ (takleef) / मुसीबत (museebat)
sufficient (सफिशिएंट): पर्याप्त (paryaapt) | काफ़ी (kaafi)
sufficiently (सफिशिएंटली): पर्याप्त रूप से (paryaapt roop se) | काफ़ी हद तक (kaafi had tak)
suicide (सुसाइड): आत्महत्या (aatmahatya) | ख़ुदकुशी (khudkushi)
suite (स्वीट): कमरों का सेट (kamaron ka set) | कमरों का सेट (kamaron ka set)
summit (समिट): शिखर सम्मेलन (shikhar sammelan) | सरबराह इज्लास (sarbarah ijlas)
super (सुपर): उत्कृष्ट (utkrisht) | आला (aala) / बेहतरीन (behtareen)
superb (सुपर्ब): शानदार (shaandaar) | उम्दा (umda) / आला तरीन (aala tareen)
superior (सुपीरियर): श्रेष्ठ (shreshth) | अफ़ज़ल (afzal) / आला (aala)
supervise (सुपरवाइज): निगरानी करना (nigaraanee karana) | निगरानी करना (nigaraanee karana)
supervision (सुपरविज़न): निगरानी (nigaraanee) | निगरानी (nigaraanee) / सरपरस्ती (sarparasti)
supervisor (सुपरवाइज़र): पर्यवेक्षक (paryavekshak) | निगरान (nigraan)
supplement (सप्लीमेंट): पूरक (poorak) | ज़मीमा (zameema)
supportive (सपोर्टिव): सहायक (sahaayak) | मददगार (madadgaar)
supposedly (सपोज़्डली): माना जाता है (maana jaata hai) | मफ़्रूज़ा तौर पर (mafrooza taur par)
suppress (सप्रेस): दबाना (dabaana) | कुचलना (kuchalna) / दबाना (dabaana)
supreme (सुप्रीम): सर्वोच्च (sarvochch) | आला (aala) / अज़ीम (azeem)
surge (सर्ज): लहर (lahar) / उछाल | लहर (lahar) / तेज़ी से बढ़ना
surgeon (सर्जन): शल्य चिकित्सक (shaly chikitsak) | जर्राह (jarrah) / सर्जन (surgeon)
surgical (सर्जिकल): शल्य चिकित्सा संबंधी (shaly chikitsa sambandhee) | जर्राही (jarrahi)
surplus (सरप्लस): अधिशेष (adhishesh) | फ़ाज़िल (faazil) / बेसी (besi)
surrender (सरेंडर): आत्मसमर्पण करना (aatmasamarpan karna) | हथियार डालना (hathiyaar daalna)
surveillance (सर्वेलांस): निगरानी (nigaraanee) | जासूसी (jaasoosi) / निगरानी (nigaraanee)
survival (सर्वाइवल): उत्तरजीविता (uttarajeevita) | बक़ा (baqa)
survivor (सर्वाइवर): जीवित बचा व्यक्ति (jeevit bacha vyakti) | ज़िंदा बच जाने वाला (zinda bach jaane wala)
suspend (सस्पेंड): निलंबित करना (nilambit karna) | मुअत्तल करना (muattal karna)
suspension (सस्पेंशन): निलंबन (nilamban) | मुअत्तली (muattali)
suspicion (सस्पिशन): संदेह (sandeh) | शक (shak) / शुबहा (shubha)
suspicious (सस्पिशस): संदिग्ध (sandigdha) | मश्कूक (mashkook) / शक्की (shakki)
sustain (सस्टेन): बनाए रखना (banaaye rakhna) | बरक़रार रखना (barqaraar rakhna)
sustainable (सस्टेनेबल): सतत (satat) | पायदार (paaydaar)
swallow (स्वैलो): निगलना (nigalanā) | निगलना (nigalanā)
swing (स्विंग): झूला (jhoola) / झूलना | झूला (jhoola) / झूलना (jhoolna)
sword (स्वॉर्ड): तलवार (talavaar) | तलवार (talavaar)
symbolic (सिम्बॉलिक): प्रतीकात्मक (prateekaatmak) | अलामती (alaamati)
sympathetic (सिम्पैथेटिक): सहानुभूतिपूर्ण (sahaanubhootipoorna) | हमदर्द (hamdard)
syndrome (सिंड्रोम): लक्षणों का समूह (lakshano ka samooh) | अलामात-ए-मर्ज़ (alamaat-e-marz)
synthesis (सिंथेसिस): संश्लेषण (sanshleshan) | तरकीब (tarkeeb)
systematic (सिस्टमैटिक): व्यवस्थित (vyavasthit) | मुनज़्ज़म (munazzam)

T:

tackle (टैकल): निपटना (nipatana) | निपटना (nipatana) / क़ाबू पाना
tactic (टैक्टिक): रणनीति (rananeetik) | हिकमत-ए-अमली (hikmat-e-amli) / चाल (chaal)
tactical (टैक्टिकल): सामरिक (saamarik) | हिकमत-ए-अमली का (hikmat-e-amli ka)
tag (टैग): लेबल (label) | टैग (tag) / पर्ची (parchi)
tap (टैप): नल (nal) / थपथपाना | नलका (nalka) / थपथपाना (thapthapana)
taxpayer (टैक्सपेयर): करदाता (karadaata) | टैक्स देने वाला (tax dene wala)
technological (टेक्नोलॉजिकल): तकनीकी (takaneekee) | तकनीकी (takaneekee)
teens (टीन्स): किशोरावस्था (kishoraavastha) | उम्र-ए-शबाब (umr-e-shabaab) / तेरह से उन्नीस वर्ष
temple (टेंपल): मंदिर (mandir) | मंदिर (mandir) / हैकल (haikal)
temporarily (टेम्पोरैरिली): अस्थायी रूप से (asthaayee roop se) | आरज़ी तौर पर (aarzi taur par)
tempt (टेम्प्ट): लुभाना (lubhaana) | तरग़ीब देना (targeeb dena) / बहकाना
tenant (टेनेंट): किरायेदार (किरायेदार) | किरायेदार (kirayedari)
tendency (टेंडेंसी): प्रवृत्ति (pravritti) | रुझान (rujhaan)
tender (टेंडर): निविदा (nivida) / कोमल | निविदा (nivida) / नाज़ुक (naazuk)
tension (टेंशन): तनाव (tanaav) | तनाव (tanaav) / तशवीश (tashveesh)
tenure (टेन्योर): कार्यकाल (kaaryakaal) | मियाद (miyaad) / मुद्दत-ए-मूलाज़मत
terminal (टर्मिनल): अंतिम (antim) / स्टेशन | आख़िरी (aakhiri) / टर्मिनल (terminal)
terminate (टर्मिनेट): समाप्त करना (samaapt karna) | ख़त्म करना (khatm karna) / मुअत्तल करना
terms (टर्म्स): शर्तें (shartēn) | शरायत (sharayat)
terrain (टेरेन): इलाक़ा (ilaqa) / भूभाग | इलाक़ा (ilaqa) / ज़मीन (zameen)
terribly (टेरिबली): बुरी तरह से (buree tarah se) | बेहद (behad) / बुरी तरह से (buree tarah se)
terrific (टेरिफिक): शानदार (shaandaar) | बहुत उम्दा (bohot umda) / ख़ौफ़नाक (khaufnaak)
terrify (टेरिफाई): डराना (daraana) | ख़ौफ़ज़दा करना (khaufzada karna)
territory (टेरिटरी): क्षेत्र (kshetra) | इलाक़ा (ilaqa) / क़लमरो (qalamro)
terror (टेरर): आतंक (aatank) | ख़ौफ़ (khauf) / दहशत (dahshat)
terrorism (टेररिज्म): आतंकवाद (aatankavaad) | दहशतगर्दी (dahshatgardi)
terrorist (टेररिस्ट): आतंकवादी (aatankavaadee) | दहशतगर्द (dahshatgard)
testify (टेस्टीफाई): गवाही देना (gavaahee dena) | गवाही देना (gavaahee dena)
testimony (टेस्टीमनी): गवाही (gavaahee) | शहादत (shahadat) / गवाही (gawahi)
testing (टेस्टिंग): परीक्षण (pareekshan) | जाँच (jaanch)
textbook (टेक्स्टबुक): पाठ्यपुस्तक (paathyapustak) | दरसी किताब (darsi kitaab)
texture (टेक्सचर): बनावट (banaavat) | साख़्त (saakht)
thankfully (थैंकफुली): शुक्र है कि (shukr hai ki) | शुक्र है कि (shukr hai ki) / ख़ुशक़िस्मती से
theatrical (थिएट्रिकल): नाटकीय (naatakeeya) | तमाशाई (tamashai) / ड्रामाई (dramai)
theft (थेफ्ट): चोरी (choree) | चोरी (chori) / सरक़ा (sarqa)
theology (थियोलॉजी): धर्मशास्त्र (dharmashaastra) | दीनियात (deeniyaat)
theoretical (थियोरेटिकल): सैद्धांतिक (saiddhaantik) | नज़रियाती (nazariyaati)
therapist (थेरेपिस्ट): चिकित्सक (chikitsak) | मुआलिज (mualij) / थेरेपिस्ट (therapist)
thereafter (देयरआफ्टर): उसके बाद (usake baad) | बाद अज़ाँ (baad azan) / उसके बाद (usake baad)
thereby (देयरबाय): जिसके चलते (jiske chalte) | इस तरह से (isee tarah se) / ब-वास्ता
thesis (थिसिस): शोधप्रबंध (shodhaprabandh) | मक़ाला (maqala)
thorough (थरो): संपूर्ण (sampoorna) | मुकम्मल (mukammal)
thoroughly (थरोली): पूरी तरह से (pooree tarah se) | मुकम्मल तौर पर (mukammal taur par)
thought-provoking (थॉट-प्रोवोकिंग): विचारोत्तेजक (vichaarottejak) | फिक्र-अंगेज़ (fikr-angez)
thoughtful (थॉटफुल): विचारशील (vichaarasheel) | फ़िक्रमंद (fikrmand) / विचारशील
thread (थ्रेड): धागा (dhaaga) | धागा (dhaaga) / सूत (soot)
threshold (थ्रेशोल्ड): दहलीज (dehleej) | दहलीज़ (dehleej)
thrilled (थ्रिल्ड): रोमांचित (romaanchit) | पुर-जोश (pur-josh) / बाग़-बाग़ (baagh-baagh)
thrive (थ्राइव): फलना-फूलना (phalna-phoolna) | कामयाब होना (kaamyaab hona)
thumb (थम्ब): अंगूठा (angootha) | अंगूठा (angootha)
tide (टाइड): ज्वार-भाटा (jvaar-bhaata) | ज्वार-भाटा (jvaar-bhaata) / लहर (lahar)
tighten (टॉइटन): कसना (kasana) | कसना (kasana) / सख़्त करना
timber (टिम्बर): इमारती लकड़ी (imaaraatee lakadee) | इमारती लकड़ी (imaaraatee lakadee)
timely (टाइमली): समयानुकूल (samayaanukool) | बर-वक़्त (bar-vaqt)
timing (टाइमिंग): समय निर्धारण (samay nirdhaaran) | वक़्त (vaqt) / टाइमिंग (timing)
tissue (टिशू): ऊतक (ootak) / टिशू पेपर | रेशा (resha) / टिशू (tissue)
tobacco (टोबैको): तंबाकू (tambaakoo) | तम्बाकू (tambaakoo)
tolerance (टॉलरेंस): सहनशीलता (sahanasheelta) | रवादारी (ravaadaari) / सब्र (sabr)
tolerate (टॉलरेट): सहन करना (sahan karna) | बर्दाश्त करना (bardaasht karna)
toll (टोल): शुल्क (shulk) / क्षति | महसूल (mahsool) / हलाकत (halaakat)
ton (टन): टन (ton) | टन (ton) (वज़न की इकाई)
tonne (टन): मीट्रिक टन (metric ton) | टन (ton)
top (टॉप): शीर्ष (sheersh) | चोटी (choti) / ऊपर (oopar)
torture (टॉर्चर): यातना (yaatana) | अज़ीयत (azeeyat) / तशद्दुद (tashaddud)
toss (टॉस): उछालना (uchhaalana) | उछालना (uchhaalana)
total (टोटल): कुल (kul) | कुल (kul) / मुकम्मल (mukammal)
tournament (टूर्नामेंट): खेल प्रतियोगिता (khel pratiyogita) | टूर्नामेंट (tournament) / मुक़ाबला
toxic (टॉक्सिक): विषैला (vishaila) | ज़हरीला (zahreela)
trace (ट्रेस): पता लगाना (pata lagaana) | सुराग़ लगाना (suraagh lagaana)
trademark (ट्रेडमार्क): व्यापार चिह्न (vyaapaar chihna) | मार्का (maarka) / ट्रेडमार्क (trademark)
trading (ट्रेडिंग): व्यापार (vyaapaar) | तिजारत (tijarat)
tragedy (ट्रेजेडी): त्रासदी (traasadee) | अलमिया (alamiya) / हादसा (haadsa)
tragic (ट्रैजिक): दुखद (dukhad) | अफ़सोसनाक (afsosnaak) / अलमनाक (alamnaak)
trail (ट्रेल): रास्ता (raasta) / पगडंडी | पगडंडी (pagdandi) / सुराग़ (suraagh)
trailer (ट्रेनर): ट्रेलर (trailer) | ट्रेलर (trailer) (झलकी या गाड़ी)
trait (ट्रेट): विशेषता (visheshata) | ख़ासियत (khasiyat) / वस्फ़ (wasf)
transaction (ट्रांजेक्शन): लेनदेन (lenaden) | लेन-देन (len-den) / मुआमला (muamla)
transcript (ट्रांसक्रिप्ट): प्रतिलिपि (pratilipi) | नक़ल (naqal)
transformation (ट्रांसफॉर्मेशन): परिवर्तन (parivartan) | तबदीली (tabdeeli)
transit (ट्रांजिट): पारगमन (paaragaman) | गुज़र (guzar) / रास्ते में होना
transmission (ट्रांसमिशन): संचरण (sancharan) | तरसील (tarseel)
transmit (ट्रांसमिट): प्रसारित करना (prasaarit karna) | पहुँचाना (pahnchana) / तरसील करना
transparency (ट्रांसपेरेंसी): पारदर्शिता (paaradarshita) | शफ़्फ़ाफ़ियत (shaffafiyat)
transparent (ट्रांसपेरेंट): पारदर्शी (paaradashee) | शफ़्फ़ाफ़ (shaffaf)
transportation (ट्रांसपोर्टेशन): परिवहन (parivahan) | बार-बरदारी (baar-bardari) / आमद-ओ-रफ़्त
trap (ट्रैप): जाल (jaal) | जाल (jaal) / फंदा (phanda)
trauma (ट्रॉमा): मानसिक सदमा (maanasik sadama) | सदमा (sadma)
treasure (ट्रेज़र): खजाना (khajaana) | ख़ज़ाना (khazana)
treaty (ट्रीटी): संधि (sandhi) | मुआहदा (muahada)
tremendous (ट्रेमेंडस): अद्भुत (adbhut) | ज़बरदस्त (zabardast)
tribal (ट्राइबल): जनजातीय (janajaateeya) | क़बाइली (qabaili)
tribe (ट्राइब): जनजाति (janajaati) | क़बीला (qabeela)
tribunal (ट्रिब्यूनल): न्यायाधिकरण (nyaayaadhikaran) | अदालत (adalat) / ट्रिब्यूनल (tribunal)
tribute (ट्रीब्यूट): श्रद्धांजलि (shraddhaanjali) | ख़िराज-ए-अक़ीदत (khiraj-e-aqeedat)
trigger (ट्रिगर): कारण बनना (kaaran banna) | बंदूक का घोड़ा (trigger) / शुरुआत करना
trillion (ट्रिलियन): दस खरब (das kharab) | ट्रिलियन (trillion)
trio (ट्रायो): तिकड़ी (tikadee) | तिकड़ी (tikadee) / तीन का समूह
triumph (ट्रायम्फ): विजय (vijay) | फ़तह (fatah) / जीत (jeet)
troop (ट्रूप): सेना की टुकड़ी (sena kee tukadee) | फ़ौजी दस्ता (fauji dasta)
trophy (ट्रॉफी): ट्रॉफी (trophy) | ट्रॉफ़ी (trophy) / इनाम (inaam)
troubled (ट्रबल्ड): परेशान (pareshan) | परेशान-हाल (pareshan-haal)
trustee (ट्रस्टी): न्यासी (nyaasee) | अमीन (ameen) / मुतवल्ली (mutawalli)
tsunami (सुनामी): सुनामी (tsunami) | सुनामी (tsunami)
tuition (ट्यूशन): शिक्षण (shikshan) / ट्यूशन | ट्यूशन (tuition) / दरस (dars)
turnout (टर्नआउट): मतदान प्रतिशत (matadaan pratishat) | हाज़िरी (haaziri) / कुल संख्या
turnover (टर्नओवर): कारोबार (kaarobaar) | कुल बिक्री (kul bikri) / टर्नओवर
twist (ट्विस्ट): मोड़ (mod) | मोड़ (mod) / बल (bal)

--- End of Part ---
